Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease, all ages†, Confirmed, Current week","Invasive Pneumococcal Disease, all ages†, Confirmed, Current week, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2018","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2018, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2017","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease, all ages†, Probable, Current week","Invasive Pneumococcal Disease, all ages†, Probable, Current week, flag","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2018","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2018, flag","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2017","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2017, flag",Location 1,Location 2
UTAH,2018,1,,-,2,,11,,,-,4,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
ILLINOIS,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MISSOURI,2018,1,18,,10,,24,,18,,20,,2,,0,,3,,2,,3,,"MISSOURI
(38.636168, -92.566292)",
MARYLAND,2018,1,13,,8,,19,,13,,19,,,-,0,,2,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
IDAHO,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
ALABAMA,2018,1,6,,6,,19,,6,,10,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEW HAMPSHIRE,2018,1,,-,2,,6,,,-,4,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH DAKOTA,2018,1,4,,2,,9,,4,,5,,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
IOWA,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
GUAM,2018,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGINIA,2018,1,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW YORK,2018,1,2,,16,,59,,2,,19,,,-,0,,1,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
CONNECTICUT,2018,1,,-,4,,16,,,-,13,,,-,0,,2,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
WASHINGTON,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
INDIANA,2018,1,,-,11,,25,,,-,16,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
KANSAS,2018,1,,-,4,,14,,,-,10,,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
GEORGIA,2018,1,3,,16,,39,,3,,34,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
PENNSYLVANIA,2018,1,9,,10,,23,,9,,20,,2,,0,,4,,2,,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
LOUISIANA,2018,1,7,,3,,19,,7,,4,,,-,0,,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2018,1,,-,2,,6,,,-,,-,,-,0,,1,,,-,1,,"MONTANA
(47.062617, -109.430168)",
COLORADO,2018,1,,-,12,,21,,,-,14,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
VIRGIN ISL.,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OREGON,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
VERMONT,2018,1,3,,1,,5,,3,,1,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WEST VIRGINIA,2018,1,,-,4,,12,,,-,7,,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
TEXAS,2018,1,2,,27,,72,,2,,10,,,-,0,,2,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MASSACHUSETTS,2018,1,,-,9,,28,,,-,23,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW MEXICO,2018,1,4,,5,,15,,4,,9,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ARKANSAS,2018,1,1,,6,,25,,1,,4,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
CALIFORNIA,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
FLORIDA,2018,1,19,,11,,29,,19,,23,,1,,0,,2,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
NORTH DAKOTA,2018,1,,-,2,,5,,,-,5,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
TENNESSEE,2018,1,3,,14,,38,,3,,33,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
OKLAHOMA,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
PUERTO RICO,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MINNESOTA,2018,1,,-,0,,7,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
SOUTH CAROLINA,2018,1,,-,6,,37,,,-,29,,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
WYOMING,2018,1,,-,0,,5,,,-,2,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
HAWAII,2018,1,1,,1,,8,,1,,1,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
C.N.M.I.,2018,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
RHODE ISLAND,2018,1,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MICHIGAN,2018,1,3,,14,,28,,3,,21,,,-,0,,1,,,-,1,,"MICHIGAN
(44.66399, -84.711206)",
ALASKA,2018,1,,-,2,,7,,,-,1,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEBRASKA,2018,1,,-,2,,10,,,-,7,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW JERSEY,2018,1,7,,6,,14,,7,,,-,,-,0,,10,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NORTH CAROLINA,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEVADA,2018,1,,-,4,,16,,,-,12,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
DIST. OF COL.,2018,1,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MAINE,2018,1,3,,2,,7,,3,,4,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
OHIO,2018,1,63,,21,,52,,63,,43,,,-,0,,2,,,-,,-,"OHIO
(40.056807, -82.405897)",
DELAWARE,2018,1,1,,1,,6,,1,,6,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
KENTUCKY,2018,1,,-,6,,17,,,-,13,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
WISCONSIN,2018,1,9,,9,,22,,9,,22,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
UNITED STATES,2018,2,361,,327,,532,,759,,1054,,4,,2,,12,,9,,6,,,
NEW ENGLAND,2018,2,10,,24,,49,,37,,78,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2018,2,75,,48,,98,,141,,128,,2,,1,,10,,4,,1,,,
NEW YORK CITY,2018,2,28,,12,,29,,53,,52,,,-,0,,2,,,-,,-,,
E.N. CENTRAL,2018,2,69,,57,,108,,148,,210,,,-,0,,2,,,-,1,,,
W.N. CENTRAL,2018,2,6,,22,,48,,36,,74,,,-,0,,2,,2,,3,,,
S. ATLANTIC,2018,2,84,,57,,110,,151,,230,,1,,0,,3,,2,,,-,,
E.S. CENTRAL,2018,2,26,,33,,68,,67,,133,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2018,2,41,,36,,173,,69,,63,,,-,0,,2,,,-,,-,,
MOUNTAIN,2018,2,50,,38,,68,,109,,132,,1,,0,,3,,1,,1,,,
PACIFIC,2018,2,,-,3,,12,,1,,6,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
NEW YORK,2018,2,30,,16,,67,,32,,38,,1,,0,,1,,1,,,-,"NEW YORK
(42.826892, -75.544286)",
WISCONSIN,2018,2,7,,9,,22,,19,,44,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
GUAM,2018,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGINIA,2018,2,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
GEORGIA,2018,2,10,,16,,39,,25,,70,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
OKLAHOMA,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
IDAHO,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
ALASKA,2018,2,,-,2,,7,,,-,4,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW HAMPSHIRE,2018,2,,-,2,,6,,2,,8,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MARYLAND,2018,2,20,,8,,19,,33,,36,,1,,0,,2,,1,,,-,"MARYLAND
(39.290443, -76.612333)",
WEST VIRGINIA,2018,2,1,,4,,12,,8,,14,,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
WYOMING,2018,2,,-,0,,5,,,-,3,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
TENNESSEE,2018,2,19,,15,,38,,47,,71,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
COLORADO,2018,2,,-,11,,21,,,-,30,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
KANSAS,2018,2,,-,4,,14,,1,,18,,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MONTANA,2018,2,5,,2,,6,,5,,1,,,-,0,,1,,,-,1,,"MONTANA
(47.062617, -109.430168)",
CONNECTICUT,2018,2,,-,4,,16,,,-,15,,,-,0,,2,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
TEXAS,2018,2,7,,27,,133,,16,,40,,,-,0,,2,,,-,,-,"TEXAS
(31.827233, -99.423022)",
RHODE ISLAND,2018,2,,-,0,,5,,,-,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
IOWA,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
DIST. OF COL.,2018,2,,-,0,,4,,,-,5,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
FLORIDA,2018,2,52,,11,,29,,71,,32,,,-,0,,2,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
SOUTH DAKOTA,2018,2,2,,2,,9,,6,,6,,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MASSACHUSETTS,2018,2,,-,11,,28,,15,,41,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
OREGON,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
MISSISSIPPI,2018,2,,-,4,,14,,,-,16,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
VIRGIN ISL.,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WASHINGTON,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
HAWAII,2018,2,,-,1,,8,,1,,2,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
OHIO,2018,2,61,,21,,63,,124,,95,,,-,0,,2,,,-,,-,"OHIO
(40.056807, -82.405897)",
INDIANA,2018,2,,-,11,,25,,,-,25,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
C.N.M.I.,2018,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NORTH CAROLINA,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW JERSEY,2018,2,6,,6,,24,,30,,,-,,-,0,,10,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEBRASKA,2018,2,4,,2,,10,,11,,8,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MINNESOTA,2018,2,,-,0,,8,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
ILLINOIS,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MISSOURI,2018,2,,-,10,,24,,18,,37,,,-,0,,2,,2,,3,,"MISSOURI
(38.636168, -92.566292)",
KENTUCKY,2018,2,,-,5,,17,,,-,17,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2018,2,,-,4,,16,,,-,18,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ARKANSAS,2018,2,19,,6,,32,,20,,13,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
PUERTO RICO,2018,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW MEXICO,2018,2,3,,5,,15,,9,,17,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
CALIFORNIA,2018,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2018,2,,-,1,,11,,,-,11,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
PENNSYLVANIA,2018,2,11,,10,,23,,26,,38,,1,,0,,4,,3,,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
MAINE,2018,2,8,,2,,8,,14,,9,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
SOUTH CAROLINA,2018,2,,-,9,,37,,11,,66,,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARIZONA,2018,2,42,,12,,53,,95,,52,,1,,0,,2,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
DELAWARE,2018,2,1,,1,,5,,3,,6,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
LOUISIANA,2018,2,15,,3,,19,,33,,10,,,-,0,,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
ALABAMA,2018,2,7,,6,,19,,20,,29,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MICHIGAN,2018,2,1,,13,,28,,5,,46,,,-,0,,1,,,-,1,,"MICHIGAN
(44.66399, -84.711206)",
NORTH DAKOTA,2018,2,,-,1,,4,,,-,5,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VERMONT,2018,2,2,,1,,5,,6,,3,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
UNITED STATES,2018,3,271,,327,,659,,1224,,1445,,2,,2,,12,,16,,8,,,
NEW ENGLAND,2018,3,3,,23,,51,,44,,105,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2018,3,57,,48,,105,,213,,183,,,-,1,,10,,6,,1,,,
NEW YORK CITY,2018,3,24,,12,,28,,77,,76,,,-,0,,2,,,-,,-,,
E.N. CENTRAL,2018,3,63,,63,,101,,240,,281,,,-,0,,2,,1,,1,,,
W.N. CENTRAL,2018,3,25,,22,,48,,95,,107,,1,,0,,2,,3,,4,,,
S. ATLANTIC,2018,3,53,,57,,109,,234,,301,,,-,0,,3,,2,,1,,,
E.S. CENTRAL,2018,3,12,,33,,65,,117,,177,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2018,3,16,,36,,191,,100,,99,,,-,0,,2,,,-,,-,,
MOUNTAIN,2018,3,42,,38,,70,,173,,184,,1,,0,,3,,4,,1,,,
PACIFIC,2018,3,,-,3,,12,,8,,8,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
LOUISIANA,2018,3,,-,3,,19,,33,,22,,,-,0,,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MISSISSIPPI,2018,3,1,,5,,14,,8,,24,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
DELAWARE,2018,3,2,,1,,5,,5,,7,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WYOMING,2018,3,,-,0,,5,,2,,3,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
HAWAII,2018,3,,-,1,,8,,1,,3,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
SOUTH CAROLINA,2018,3,,-,8,,34,,11,,81,,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
GUAM,2018,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
VERMONT,2018,3,1,,1,,5,,7,,3,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
UTAH,2018,3,1,,1,,11,,2,,20,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
C.N.M.I.,2018,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MAINE,2018,3,1,,2,,10,,17,,11,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
MINNESOTA,2018,3,,-,0,,9,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
ALASKA,2018,3,,-,2,,7,,7,,5,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEVADA,2018,3,,-,4,,16,,2,,21,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ARKANSAS,2018,3,8,,6,,40,,28,,17,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW HAMPSHIRE,2018,3,,-,2,,6,,4,,12,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KANSAS,2018,3,,-,4,,14,,7,,23,,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
TEXAS,2018,3,8,,26,,143,,39,,60,,,-,0,,2,,,-,,-,"TEXAS
(31.827233, -99.423022)",
FLORIDA,2018,3,26,,12,,52,,97,,39,,,-,0,,2,,1,,1,,"FLORIDA
(28.915325, -81.922409)",
NORTH CAROLINA,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
OREGON,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
GEORGIA,2018,3,10,,17,,39,,54,,101,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEBRASKA,2018,3,6,,3,,10,,19,,10,,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MARYLAND,2018,3,14,,8,,24,,51,,51,,,-,0,,2,,1,,,-,"MARYLAND
(39.290443, -76.612333)",
CALIFORNIA,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
PUERTO RICO,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
SOUTH DAKOTA,2018,3,2,,2,,9,,8,,7,,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARIZONA,2018,3,34,,12,,53,,136,,72,,1,,0,,2,,4,,,-,"ARIZONA
(34.869712, -111.760902)",
MONTANA,2018,3,1,,2,,6,,7,,3,,,-,0,,1,,,-,1,,"MONTANA
(47.062617, -109.430168)",
NORTH DAKOTA,2018,3,,-,1,,4,,,-,7,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
WEST VIRGINIA,2018,3,1,,4,,12,,15,,16,,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
INDIANA,2018,3,1,,12,,26,,21,,36,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MASSACHUSETTS,2018,3,,-,11,,28,,15,,57,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW MEXICO,2018,3,6,,5,,15,,24,,29,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
IDAHO,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
TENNESSEE,2018,3,3,,15,,32,,60,,92,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
VIRGINIA,2018,3,,-,0,,3,,1,,1,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
WISCONSIN,2018,3,11,,10,,17,,35,,61,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
RHODE ISLAND,2018,3,1,,0,,5,,1,,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MISSOURI,2018,3,17,,10,,29,,61,,60,,1,,0,,2,,3,,4,,"MISSOURI
(38.636168, -92.566292)",
OKLAHOMA,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NEW YORK,2018,3,20,,16,,72,,52,,54,,,-,0,,1,,1,,,-,"NEW YORK
(42.826892, -75.544286)",
KENTUCKY,2018,3,5,,7,,17,,23,,23,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
CONNECTICUT,2018,3,,-,4,,16,,,-,20,,,-,0,,2,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
ALABAMA,2018,3,3,,6,,16,,26,,38,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MICHIGAN,2018,3,1,,13,,28,,10,,71,,,-,0,,1,,1,,1,,"MICHIGAN
(44.66399, -84.711206)",
VIRGIN ISL.,2018,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
IOWA,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
ILLINOIS,2018,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
DIST. OF COL.,2018,3,,-,0,,3,,,-,5,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
COLORADO,2018,3,,-,11,,21,,,-,36,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
PENNSYLVANIA,2018,3,9,,11,,23,,42,,53,,,-,0,,4,,4,,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
