Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease§, All ages, Confirmed, Current week","Invasive Pneumococcal Disease§, All ages, Confirmed, Current week, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016, flag","Invasive Pneumococcal Disease§, All ages, Probable, Current week","Invasive Pneumococcal Disease§, All ages, Probable, Current week, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016, flag",Location 1,Location 2
NORTH DAKOTA,2017,5,,-,1,,5,,8,,2,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ALASKA,2017,5,,-,2,,8,,8,,13,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
VERMONT,2017,5,,-,1,,10,,5,,12,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ARKANSAS,2017,5,5,,4,,24,,28,,25,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
TEXAS,2017,5,34,,28,,125,,117,,140,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
HAWAII,2017,5,,-,1,,5,,5,,7,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
IDAHO,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
WASHINGTON,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
SOUTH DAKOTA,2017,5,1,,2,,9,,10,,10,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARIZONA,2017,5,20,,11,,37,,110,,119,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
WEST VIRGINIA,2017,5,3,,4,,17,,17,,27,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MICHIGAN,2017,5,2,,13,,29,,46,,104,,,-,0,,1,,1,,1,,"MICHIGAN
(44.66399, -84.711206)",
OHIO,2017,5,24,,18,,53,,171,,152,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
IOWA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2017,5,,-,4,,13,,27,,26,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2017,5,23,,10,,59,,72,,106,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
MAINE,2017,5,1,,2,,9,,14,,15,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
MISSISSIPPI,2017,5,1,,5,,12,,17,,45,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NORTH CAROLINA,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
OREGON,2017,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
WYOMING,2017,5,,-,0,,3,,3,,7,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
UNITED STATES,2017,6,212,,296,,559,,2093,,2395,,,-,0,,6,,13,,5,,,
NEW ENGLAND,2017,6,4,,20,,43,,123,,148,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,6,42,,41,,80,,321,,284,,,-,0,,4,,6,,,-,,
NEW YORK CITY,2017,6,12,,14,,29,,127,,92,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,6,7,,49,,98,,343,,472,,,-,0,,1,,2,,2,,,
W.N. CENTRAL,2017,6,17,,15,,42,,145,,112,,,-,0,,3,,3,,1,,,
S. ATLANTIC,2017,6,56,,51,,123,,423,,439,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2017,6,12,,34,,69,,238,,260,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,6,35,,37,,161,,205,,275,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,6,35,,35,,78,,273,,378,,,-,0,,1,,1,,1,,,
PACIFIC,2017,6,4,,4,,10,,22,,27,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
GUAM,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGIN ISL.,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
VERMONT,2017,6,,-,1,,10,,6,,13,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MINNESOTA,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
UTAH,2017,6,,-,4,,10,,18,,39,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEW YORK,2017,6,25,,17,,51,,115,,110,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
OHIO,2017,6,,-,18,,53,,171,,178,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW JERSEY,2017,6,1,,0,,8,,13,,2,,,-,0,,2,,2,,,-,"NEW JERSEY
(40.104655, -74.386686)",
CALIFORNIA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
GEORGIA,2017,6,8,,17,,38,,89,,148,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
FLORIDA,2017,6,21,,10,,59,,93,,116,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
WISCONSIN,2017,6,5,,7,,21,,84,,63,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
ILLINOIS,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
TEXAS,2017,6,28,,28,,127,,151,,192,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEVADA,2017,6,,-,3,,9,,6,,48,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
OKLAHOMA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
ARKANSAS,2017,6,7,,4,,24,,36,,31,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
OREGON,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
HAWAII,2017,6,4,,2,,5,,12,,10,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEW HAMPSHIRE,2017,6,,-,2,,6,,17,,16,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MASSACHUSETTS,2017,6,,-,11,,25,,68,,66,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
IOWA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
NORTH CAROLINA,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
PENNSYLVANIA,2017,6,4,,9,,24,,66,,80,,,-,0,,3,,4,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
CONNECTICUT,2017,6,,-,4,,9,,10,,35,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
VIRGINIA,2017,6,,-,0,,2,,1,,3,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
COLORADO,2017,6,13,,9,,19,,68,,86,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
PUERTO RICO,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
C.N.M.I.,2017,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WYOMING,2017,6,,-,0,,3,,3,,7,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
SOUTH CAROLINA,2017,6,14,,8,,39,,130,,51,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARIZONA,2017,6,22,,11,,37,,130,,150,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MICHIGAN,2017,6,2,,14,,29,,63,,133,,,-,0,,1,,2,,2,,"MICHIGAN
(44.66399, -84.711206)",
WASHINGTON,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
TENNESSEE,2017,6,11,,18,,38,,145,,123,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
INDIANA,2017,6,,-,9,,26,,25,,98,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2017,6,6,,2,,9,,16,,14,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
KANSAS,2017,6,,-,4,,9,,26,,36,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
IDAHO,2017,6,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
ALASKA,2017,6,,-,2,,8,,10,,17,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ALABAMA,2017,6,1,,6,,25,,46,,48,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MISSOURI,2017,6,4,,5,,18,,67,,25,,,-,0,,3,,3,,,-,"MISSOURI
(38.636168, -92.566292)",
MONTANA,2017,6,,-,1,,7,,6,,10,,,-,0,,1,,1,,1,,"MONTANA
(47.062617, -109.430168)",
KENTUCKY,2017,6,,-,4,,13,,27,,37,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MARYLAND,2017,6,9,,8,,22,,71,,66,,,-,0,,0,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
NORTH DAKOTA,2017,6,1,,2,,5,,13,,4,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
RHODE ISLAND,2017,6,2,,1,,8,,5,,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WEST VIRGINIA,2017,6,1,,4,,17,,25,,37,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW MEXICO,2017,6,,-,5,,15,,42,,38,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MISSISSIPPI,2017,6,,-,4,,11,,20,,52,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
DELAWARE,2017,6,3,,1,,6,,12,,10,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
DIST. OF COL.,2017,6,,-,1,,4,,2,,8,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MAINE,2017,6,2,,2,,9,,17,,18,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEBRASKA,2017,6,6,,3,,8,,23,,33,,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
LOUISIANA,2017,6,,-,5,,16,,18,,52,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
UNITED STATES,2017,7,240,,295,,564,,2474,,2835,,,-,0,,6,,13,,8,,,
NEW ENGLAND,2017,7,1,,20,,44,,127,,187,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,7,51,,41,,80,,376,,335,,,-,0,,4,,6,,3,,,
NEW YORK CITY,2017,7,22,,13,,29,,149,,113,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,7,26,,49,,101,,425,,541,,,-,0,,1,,2,,2,,,
W.N. CENTRAL,2017,7,25,,16,,42,,182,,132,,,-,0,,3,,3,,1,,,
S. ATLANTIC,2017,7,43,,51,,123,,481,,517,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2017,7,25,,34,,69,,274,,302,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,7,22,,37,,162,,248,,339,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,7,45,,35,,78,,334,,451,,,-,0,,1,,1,,1,,,
PACIFIC,2017,7,2,,4,,10,,27,,31,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
COLORADO,2017,7,16,,9,,19,,84,,93,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NORTH DAKOTA,2017,7,1,,1,,5,,14,,5,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
TENNESSEE,2017,7,16,,17,,38,,167,,146,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEW MEXICO,2017,7,1,,5,,15,,49,,49,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
DIST. OF COL.,2017,7,,-,1,,4,,2,,9,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSISSIPPI,2017,7,,-,4,,11,,24,,57,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
HAWAII,2017,7,1,,2,,6,,15,,12,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MARYLAND,2017,7,8,,8,,22,,80,,76,,,-,0,,0,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
OHIO,2017,7,16,,17,,53,,196,,198,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
PENNSYLVANIA,2017,7,7,,9,,23,,75,,94,,,-,0,,3,,4,,3,,"PENNSYLVANIA
(40.789676, -77.858055)",
GEORGIA,2017,7,8,,17,,38,,103,,177,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
VERMONT,2017,7,,-,1,,10,,6,,23,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WEST VIRGINIA,2017,7,,-,4,,17,,28,,40,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
IOWA,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MICHIGAN,2017,7,2,,13,,28,,78,,155,,,-,0,,1,,2,,2,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2017,7,4,,2,,9,,20,,18,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGIN ISL.,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW HAMPSHIRE,2017,7,,-,2,,6,,19,,19,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALASKA,2017,7,1,,2,,8,,12,,19,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
RHODE ISLAND,2017,7,,-,1,,9,,6,,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WYOMING,2017,7,,-,0,,3,,3,,9,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
CALIFORNIA,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
ILLINOIS,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
GUAM,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2017,7,,-,4,,9,,10,,38,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
PUERTO RICO,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
INDIANA,2017,7,,-,9,,26,,49,,115,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
UTAH,2017,7,4,,4,,10,,32,,45,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
DELAWARE,2017,7,1,,1,,6,,14,,13,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MISSOURI,2017,7,13,,5,,18,,87,,30,,,-,0,,3,,3,,,-,"MISSOURI
(38.636168, -92.566292)",
MASSACHUSETTS,2017,7,,-,11,,25,,68,,86,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH CAROLINA,2017,7,8,,8,,39,,142,,61,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEVADA,2017,7,,-,3,,9,,6,,56,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ALABAMA,2017,7,,-,6,,25,,47,,56,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
IDAHO,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
KENTUCKY,2017,7,9,,4,,13,,36,,43,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ARIZONA,2017,7,24,,11,,37,,154,,187,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
OKLAHOMA,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2017,7,18,,10,,59,,111,,137,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
OREGON,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
NEW YORK,2017,7,18,,17,,51,,133,,126,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MINNESOTA,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
LOUISIANA,2017,7,,-,5,,16,,29,,60,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
VIRGINIA,2017,7,,-,0,,2,,1,,4,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
C.N.M.I.,2017,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WISCONSIN,2017,7,8,,7,,22,,102,,73,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MAINE,2017,7,1,,2,,9,,18,,21,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEBRASKA,2017,7,7,,3,,8,,30,,37,,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
NORTH CAROLINA,2017,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
TEXAS,2017,7,22,,28,,128,,180,,242,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEW JERSEY,2017,7,4,,0,,8,,19,,2,,,-,0,,2,,2,,,-,"NEW JERSEY
(40.104655, -74.386686)",
MONTANA,2017,7,,-,1,,7,,6,,12,,,-,0,,1,,1,,1,,"MONTANA
(47.062617, -109.430168)",
KANSAS,2017,7,,-,4,,9,,31,,42,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
